116,04/26/2013
117,04/27/2013
118,04/28/2013
119,04/29/2013
120,04/30/2013
121,05/01/2013
122,05/02/2013
123,05/03/2013
124,05/04/2013
125,05/05/2013
126,05/06/2013
127,05/07/2013
128,05/08/2013
129,05/09/2013
130,05/10/2013
131,05/11/2013
132,05/12/2013
133,05/13/2013
134,05/14/2013
135,05/15/2013
136,05/16/2013
137,05/17/2013
138,05/18/2013
139,05/19/2013
140,05/20/2013
141,05/21/2013
142,05/22/2013
143,05/23/2013
144,05/24/2013
145,05/25/2013
146,05/26/2013
147,05/27/2013
148,05/28/2013
149,05/29/2013
150,05/30/2013
151,05/31/2013
152,06/01/2013
153,06/02/2013
154,06/03/2013
155,06/04/2013
156,06/05/2013
157,06/06/2013
158,06/07/2013
159,06/08/2013
160,06/09/2013
161,06/10/2013
162,06/11/2013
163,06/12/2013
164,06/13/2013
165,06/14/2013
166,06/15/2013
167,06/16/2013
168,06/17/2013
169,06/18/2013
170,06/19/2013
171,06/20/2013
172,06/21/2013
173,06/22/2013
174,06/23/2013
175,06/24/2013
176,06/25/2013
177,06/26/2013
178,06/27/2013
179,06/28/2013
180,06/29/2013
181,06/30/2013
182,07/01/2013
183,07/02/2013
184,07/03/2013
185,07/04/2013
186,07/05/2013
187,07/06/2013
188,07/07/2013
189,07/08/2013
190,07/09/2013
191,07/10/2013
192,07/11/2013
193,07/12/2013
194,07/13/2013
195,07/14/2013
196,07/15/2013
197,07/16/2013
198,07/17/2013
199,07/18/2013
200,07/19/2013
201,07/20/2013
202,07/21/2013
203,07/22/2013
204,07/23/2013
205,07/24/2013
206,07/25/2013
207,07/26/2013
208,07/27/2013
209,07/28/2013
210,07/29/2013
211,07/30/2013
212,07/31/2013
213,08/01/2013
214,08/02/2013
215,08/03/2013
216,08/04/2013
217,08/05/2013
218,08/06/2013
219,08/07/2013
220,08/08/2013
221,08/09/2013
222,08/10/2013
223,08/11/2013
224,08/12/2013
225,08/13/2013
226,08/14/2013
227,08/15/2013
228,08/16/2013
229,08/17/2013
230,08/18/2013
231,08/19/2013
232,08/20/2013
233,08/21/2013
234,08/22/2013
235,08/23/2013
236,08/24/2013
237,08/25/2013
238,08/26/2013
239,08/27/2013
240,08/28/2013
241,08/29/2013
242,08/30/2013
243,08/31/2013
244,09/01/2013
245,09/02/2013
246,09/03/2013
247,09/04/2013
248,09/05/2013
249,09/06/2013
250,09/07/2013
251,09/08/2013
252,09/09/2013
253,09/10/2013
254,09/11/2013
255,09/12/2013
256,09/13/2013
257,09/14/2013
258,09/15/2013
259,09/16/2013
260,09/17/2013
261,09/18/2013
262,09/19/2013
263,09/20/2013
264,09/21/2013
265,09/22/2013
266,09/23/2013
267,09/24/2013
268,09/25/2013
269,09/26/2013
270,09/27/2013
271,09/28/2013
272,09/29/2013
273,09/30/2013
274,10/01/2013
275,10/02/2013
276,10/03/2013
277,10/04/2013
278,10/05/2013
279,10/06/2013
280,10/07/2013
281,10/08/2013
282,10/09/2013
283,10/10/2013
284,10/11/2013
285,10/12/2013
286,10/13/2013
287,10/14/2013
288,10/15/2013
289,10/16/2013
290,10/17/2013
291,10/18/2013
292,10/19/2013
293,10/20/2013
294,10/21/2013
295,10/22/2013
296,10/23/2013
297,10/24/2013
298,10/25/2013
299,10/26/2013
300,10/27/2013
301,10/28/2013
302,10/29/2013
303,10/30/2013
304,10/31/2013
305,11/01/2013
306,11/02/2013
307,11/03/2013
308,11/04/2013
309,11/05/2013
310,11/06/2013
311,11/07/2013
312,11/08/2013
313,11/09/2013
314,11/10/2013
315,11/11/2013
316,11/12/2013
317,11/13/2013
318,11/14/2013
319,11/15/2013
320,11/16/2013
321,11/17/2013
322,11/18/2013
323,11/19/2013
324,11/20/2013
325,11/21/2013
326,11/22/2013
327,11/23/2013
328,11/24/2013
329,11/25/2013
330,11/26/2013
331,11/27/2013
332,11/28/2013
333,11/29/2013
334,11/30/2013
335,12/01/2013
336,12/02/2013
337,12/03/2013
338,12/04/2013
339,12/05/2013
340,12/06/2013
341,12/07/2013
342,12/08/2013
343,12/09/2013
344,12/10/2013
345,12/11/2013
346,12/12/2013
347,12/13/2013
348,12/14/2013
349,12/15/2013
350,12/16/2013
351,12/17/2013
352,12/18/2013
353,12/19/2013
354,12/20/2013
355,12/21/2013
356,12/22/2013
357,12/23/2013
358,12/24/2013
359,12/25/2013
360,12/26/2013
361,12/27/2013
362,12/28/2013
363,12/29/2013
364,12/30/2013
365,12/31/2013
